,매장명,주소,DT,위도,경도
54,창원대로DT,경상남도 창원시 성산구 성산패총로 182 (가음정동)1522-3232,pin_generalDT,35.2095615963132,128.683681913031
55,창원사파,"경상남도 창원시 성산구 창이대로689번길 4-4 (사파동) 1,2층1522-3232",pin_general,35.22312859619139,128.7007017411131
56,진해장천,"경상남도 창원시 진해구 충장로 662 (장천동), [108호, 109호, 110호, 111호]1522-3232",pin_general,35.13083915,128.703571338
57,창원파티마병원,경상남도 창원시 의창구 창이대로 45 (명서동)1522-3232,pin_general,35.23679725,128.64583124
58,창원내서,경상남도 창원시 마산회원구 내서읍 광려천서로 81 1522-3232,pin_general,35.2490312214725,128.510681026083
59,창원대방,"경상남도 창원시 성산구 가양로124번길 4 (대방동),  1층 104호1522-3232",pin_general,35.209242593324696,128.7066600750564
60,마산진동DT,경상남도 창원시 마산합포구 진동면 삼진의거대로 589-1 1522-3232,pin_generalDT,35.114308,128.482418
61,통영이마트,경상남도 통영시 광도면 죽림4로 9 1522-3232,pin_general,34.886597495,128.417895263
62,통영죽림,경상남도 통영시 광도면 죽림해안로 64-72 1522-3232,pin_general,34.882242,128.422815
63,통영북신DT,경상남도 통영시 중앙로 273 (북신동)1522-3232,pin_generalDT,34.8547537944604,128.428162068745
64,거제대로DT,경상남도 거제시 거제대로 4521 (수월동)1522-3232,pin_generalDT,34.894667,128.641559
65,거제고현,경상남도 거제시 거제중앙로 1936 (고현동)1522-3232,pin_general,34.8907709,128.6221848
66,소노캄거제,경상남도 거제시 일운면 거제대로 2660 1층 110호1522-3232,pin_general,34.84384342,128.702360332
67,거제상동DT,경상남도 거제시 거제중앙로 1647 (상동동)1522-3232,pin_generalDT,34.868574,128.637515
68,거제옥포DT,경상남도 거제시 거제대로 3718 (옥포동)1522-3232,pin_generalDT,34.88898292568363,128.69150509599194
69,거제장평,경상남도 거제시 장평3로 43 (장평동)1522-3232,pin_general,34.892974,128.608744
70,남양산IC DT,경상남도 양산시 동면 양산대로 5321522-3232,pin_generalDT,35.319987,129.030485
71,양산증산역,경상남도 양산시 물금읍 증산역로 177 1522-3232,pin_general,35.30898019301058,129.00945734552783
72,양산가촌,경상남도 양산시 물금읍 야리로 25 1522-3232,pin_general,35.3171469065169,129.001498744995
73,양산덕계DT,경상남도 양산시 웅상대로 860 (덕계동)1522-3232,pin_generalDT,35.3761068854677,129.15552304160047
74,양산터미널,경상남도 양산시 양산역1길 7 (중부동) 양산시외버스터미널1522-3232,pin_general,35.3353404,129.02685
75,양산범어,경상남도 양산시 물금읍 범어로 621522-3232,pin_general,35.3287435162243,129.014307074921
76,양산이마트,"경상남도 양산시 양산역6길 12, 양산이마트 1층 (중부동)1522-3232",pin_general,35.33706607072501,129.02690161220042
77,양산물금DT,경상남도 양산시 물금읍 황산로 346 1522-3232,pin_generalDT,35.3075354379422,128.986400471101
78,양산부산대학교병원,경상남도 양산시 물금읍 금오로 20 1522-3232,pin_general,35.32806420490634,129.0063449567268
79,양산신기DT,경상남도 양산시 양산대로 947 (신기동)1522-3232,pin_generalDT,35.355007631985565,129.03816275068954
